CFDTR,CONVERT TO FIXED (long DFP to 32),RRF-e,C,F,"¤7,9",,,Dt,Xi,Xx,,B941,20-29,,,
CFEBR,CONVERT TO FIXED (short BFP to 32),RRF-e,C,,"¤7,9",,SP Db,,Xi,Xx,,B398,19-22,,,
CFEBRA,CONVERT TO FIXED (short BFP to 32),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B398,19-22,,,
CFER,CONVERT TO FIXED (short HFP to 32),RRF-e,C,,"¤7,9",,SP Da,,,,,B3B8,18-11,,,
CFI,COMPARE IMMEDIATE (32),RIL-a,C,EI,,,,,,,,C2D,7-117,,,
CFXBR,CONVERT TO FIXED (extended BFP to 32),RRF-e,C,,"¤7,9",,SP,Db,Xi,Xx,,B39A,19-22,,,
CFXBRA,CONVERT TO FIXED (extended BFP to 32),RRF-e,C,F,"¤7,9",,SP,Db,Xi,Xx,,B39A,19-22,,,
CFXR,CONVERT TO FIXED (extended HFP to 32),RRF-e,C,,"¤7,9",,SP,Da,,,,B3BA,18-11,,,
CFXTR,CONVERT TO FIXED (extended DFP to 32),RRF-e,C,F,"¤7,9",,SP,Dt,Xi,Xx,,B949,20-29,,,
CG,COMPARE (64),RXY-a,C,N,,A,,,,,B2,E320,7-117,,,
CGDBR,CONVERT TO FIXED (long BFP to 64),RRF-e,C,N,"¤7,9",,SP Db,,Xi,Xx,,B3A9,19-22,,,
CGDBRA,CONVERT TO FIXED (long BFP to 64),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B3A9,19-22,,,
CGDR,CONVERT TO FIXED (long HFP to 64),RRF-e,C,N,"¤7,9",,SP Da,,,,,B3C9,18-11,,,
CGDTR,CONVERT TO FIXED (long DFP to 64),RRF-e,C,TF,"¤7,9",,,Dt,Xi,Xx,,B3E1,20-28,,,
CGDTRA,CONVERT TO FIXED (long DFP to 64),RRF-e,C,F,"¤7,9",,,Dt,Xi,Xx,,B3E1,20-29,,,
CGEBR,CONVERT TO FIXED (short BFP to 64),RRF-e,C,N,"¤7,9",,SP Db,,Xi,Xx,,B3A8,19-22,,,
CGEBRA,CONVERT TO FIXED (short BFP to 64),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B3A8,19-22,,,
CGER,CONVERT TO FIXED (short HFP to 64),RRF-e,C,N,"¤7,9",,SP Da,,,,,B3C8,18-11,,,
CGF,COMPARE (6432),RXY-a,C,N,,A,,,,,B2,E330,7-117,,,
CGFI,COMPARE IMMEDIATE (6432),RIL-a,C,EI,,,,,,,,C2C,7-117,,,
CGFR,COMPARE (6432),RRE,C,N,,,,,,,,B930,7-117,,,
CGFRL,COMPARE RELATIVE LONG (6432),RIL-b,C,GE,,A*,SP,,,,,C6C,7-118,,,
CGH,COMPARE HALFWORD (6416),RXY-a,C,GE,,A,,,,,B2,E334,7-133,,,
CGHI,COMPARE HALFWORD IMMEDIATE (6416),RI-a,C,N,,,,,,,,A7F,7-133,,,
CGHRL,COMPARE HALFWORD RELATIVE LONG (6416),RIL-b,C,GE,,A*,,,,,,C64,7-133,,,
CGHSI,COMPARE HALFWORD IMMEDIATE (6416),SIL,C,GE,,A,,,,B1,,E558,7-133,,,
CGIB,COMPARE IMMEDIATE AND BRANCH (648),RIS,,GE,¤9,,,,,B,,ECFC,7-119,,,
CGIJ,COMPARE IMMEDIATE AND BRANCH RELATIVE,RIE-c,,GE,¤10,,,,,B,,EC7C,7-119,,,
CGIT,COMPARE IMMEDIATE AND TRAP (6416),RIE-a,,GE,,,,,Dc,,,EC70,7-132,,,
CGR,COMPARE (64),RRE,C,N,,,,,,,,B920,7-117,,,
CGRB,COMPARE AND BRANCH (64),RRS,,GE,¤9,,,,,B,,ECE4,7-118,,,
CGRJ,COMPARE AND BRANCH RELATIVE (64),RIE-b,,GE,¤10,,,,,B,,EC64,7-118,,,
CGRL,COMPARE RELATIVE LONG (64),RIL-b,C,GE,,A*,SP,,,,,C68,7-118,,,
CGRT,COMPARE AND TRAP (64),RRF-c,,GE,,,,,Dc,,,B960,7-132,,,
CGXBR,CONVERT TO FIXED (extended BFP to 64),RRF-e,C,N,"¤7,9",,SP,Db,Xi,Xx,,B3AA,19-22,,,
CGXBRA,CONVERT TO FIXED (extended BFP to 64),RRF-e,C,F,"¤7,9",,SP,Db,Xi,Xx,,B3AA,19-22,,,
CGXR,CONVERT TO FIXED (extended HFP to 64),RRF-e,C,N,"¤7,9",,SP,Da,,,,B3CA,18-11,,,
CGXTR,CONVERT TO FIXED (extended DFP to 64),RRF-e,C,TF,"¤7,9",,SP,Dt,Xi,Xx,,B3E9,20-28,,,
CGXTRA,CONVERT TO FIXED (extended DFP to 64),RRF-e,C,F,"¤7,9",,SP,Dt,Xi,Xx,,B3E9,20-29,,,
CH,COMPARE HALFWORD (3216),RX-a,C,,,A,,,,,B2,49,7-133,,,
CHF,COMPARE HIGH (32),RXY-a,C,HW,,A,,,,,B2,E3CD,7-134,,,
CHHR,COMPARE HIGH (32),RRE,C,HW,,,,,,,,B9CD,7-134,,,
